,Country,Country Code,Indicator,GDP_2010,GDP_2011, GDP_2012,GDP_2013,GDP_2014,GDP_2015,Series Name,POP_2010,POP_2011,POP_2012,POP_2013,POP_2014,POP_2015
0,Afghanistan,AFG,GDP (current US$),15633856787.042477,18190410820.6235,20203572959.502293,20564485419.168434,20550582746.84484,19998156214.39877,"Population, total",28189672,29249157,30466479,31541209,32716210,33753499
1,Albania,ALB,GDP (current US$),11926922828.991106,12890764531.328362,12319830437.346674,12776220507.016235,13228147516.116798,11386850129.841055,"Population, total",2913021,2905195,2900401,2895092,2889104,2880703
2,Algeria,DZA,GDP (current US$),161207270185.2499,200013052199.1996,209058991952.12546,209755003250.664,213810024944.46445,165979279263.1744,"Population, total",35856344,36543541,37260563,38000626,38760168,39543154
3,American Samoa,ASM,GDP (current US$),573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,"Population, total",54849,54310,53691,52995,52217,51368
4,Andorra,AND,GDP (current US$),3449966856.6883206,3629203786.1915364,3188808942.5671334,3193704343.2062693,3271808157.300385,2789870187.5069346,"Population, total",71519,70567,71013,71367,71621,71746
5,Angola,AGO,GDP (current US$),81699526880.8079,109436566876.41864,124998210652.24281,133401582620.49359,137244439121.37398,87219300384.50717,"Population, total",23364185,24259111,25188292,26147002,27128337,28127721
6,Antigua and Barbuda,ATG,GDP (current US$),1148700000.0,1137637037.037037,1199948148.148148,1181448148.148148,1249733333.3333333,1336692592.5925925,"Population, total",85695,86729,87674,88497,89236,89941
7,Argentina,ARG,GDP (current US$),423627422092.4897,530163281574.65753,545982375701.128,552025140252.2463,526319673731.6383,594749285413.2124,"Population, total",40788453,41261490,41733271,42202935,42669500,43131966
8,Armenia,ARM,GDP (current US$),9260284937.797813,10142111334.496105,10619320048.585737,11121465767.406683,11609512939.75425,10553337672.987204,"Population, total",2946293,2928976,2914421,2901385,2889930,2878595
9,Aruba,ABW,GDP (current US$),2453631284.916201,2637988826.8156424,2615083798.8826814,2727932960.8938546,2791061452.5139666,2963128491.6201115,"Population, total",100341,101288,102112,102880,103594,104257
10,Australia,AUS,GDP (current US$),1148610059015.2383,1398405797101.4492,1546892142709.8372,1576380424746.0757,1467545212521.803,1350615691821.283,"Population, total",22031750,22340024,22733465,23128129,23475686,23815995
11,Austria,AUT,GDP (current US$),392275107258.6674,431685217367.51056,409401816050.5313,430190979705.962,442584815286.03375,381971148530.5428,"Population, total",8363404,8391643,8429991,8479823,8546356,8642699
12,Azerbaijan,AZE,GDP (current US$),52909294791.92624,65951627200.202614,69683935845.21385,74164435946.46272,75244294275.14981,53074370486.043335,"Population, total",9054332,9173082,9295784,9416801,9535079,9649341
13,"Bahamas, The",BHS,GDP (current US$),10095760000.0,10070450000.0,10720500000.0,10562800000.0,11176100000.0,11861900000.0,"Population, total",373272,377950,382061,385650,389131,392697
14,Bahrain,BHR,GDP (current US$),25713271276.595745,28776595744.68085,30749308510.638298,32539468085.106384,33387712765.957447,31050638297.87234,"Population, total",1213645,1212077,1224939,1261673,1311134,1362142
15,Bangladesh,BGD,GDP (current US$),115279077465.22643,128637938711.3856,133355749482.47754,149990451022.28983,172885454931.4531,195078678697.22955,"Population, total",148391139,150211005,152090649,154030139,155961299,157830000
16,Barbados,BRB,GDP (current US$),4529928300.0,4657699450.0,4610096000.0,4677248300.0,4696344350.0,4724691200.0,"Population, total",274711,275486,276197,276865,277493,278083
17,Belarus,BLR,GDP (current US$),57222490768.71434,61757788944.72362,65685102554.875854,75527984234.23424,78813839984.35056,56454734396.5842,"Population, total",9483836,9461643,9446836,9443211,9448515,9461076
18,Belgium,BEL,GDP (current US$),481420882905.0009,523330354138.1333,496152879924.7267,521791015247.0603,535390200131.0177,462335574841.48413,"Population, total",10895586,11038264,11106932,11159407,11209057,11274196
19,Belize,BLZ,GDP (current US$),1738500000.0,1819500000.0,1903000000.0,2029500000.0,2138000000.0,2210500000.0,"Population, total",322106,329538,337059,344688,352335,359871
20,Benin,BEN,GDP (current US$),9535345011.48797,10693321370.03598,11141358105.985321,12517845127.677475,13284527850.263166,11388160997.108948,"Population, total",9445710,9726380,10014078,10308730,10614844,10932783
21,Bermuda,BMU,GDP (current US$),6634526000.0,6312691000.0,6378188000.0,6465756000.0,6413988000.0,6654541000.0,"Population, total",65124,64564,64798,65001,65138,65237
